,Unnamed: 0,index,Track Name,Artist,love,Uncertainty,Explictives,German,Swedish,Dutch,Spanish
209,209.0,771979.0,Solo Dance,Martin Jensen,0.0,1.0,0.0,0.0,0.0,0.0,0.0
210,210.0,771982.0,Baptized In Fire,Kid Cudi,1.0,0.0,0.0,0.0,0.0,0.0,0.0
211,211.0,771983.0,Foldin Clothes,J. Cole,1.0,0.0,0.0,0.0,0.0,0.0,0.0
212,212.0,771984.0,The Greatest,Sia,1.0,0.0,0.0,0.0,0.0,0.0,0.0
213,213.0,771985.0,Oh Lord,MiC LOWRY,1.0,0.0,0.0,0.0,0.0,0.0,0.0
214,214.0,771986.0,Blue Ain't Your Color,Keith Urban,0.0,1.0,0.0,0.0,0.0,0.0,0.0
215,215.0,771988.0,Hear Me Now,Alok,1.0,0.0,0.0,0.0,0.0,0.0,0.0
216,216.0,771989.0,Ophelia,The Lumineers,0.0,1.0,0.0,0.0,0.0,0.0,0.0
217,217.0,771990.0,Attention,The Weeknd,1.0,0.0,0.0,0.0,0.0,0.0,0.0
218,218.0,771991.0,Dynamite (feat. Pretty Sister),Nause,1.0,0.0,0.0,0.0,0.0,0.0,0.0
219,219.0,771992.0,'Till I Collapse,Eminem,1.0,0.0,0.0,0.0,0.0,0.0,0.0
220,220.0,771993.0,Wake Up Where You Are,State of Sound,1.0,0.0,0.0,0.0,0.0,0.0,0.0
221,221.0,771994.0,Do What I Want,Lil Uzi Vert,0.0,1.0,0.0,0.0,0.0,0.0,0.0
222,222.0,771995.0,Lose Yourself - Soundtrack Version,Eminem,1.0,0.0,0.0,0.0,0.0,0.0,0.0
223,223.0,771996.0,Taped Up Heart (feat. Clara Mae),KREAM,0.0,1.0,0.0,0.0,0.0,0.0,0.0
224,224.0,772000.0,Unsteady,X Ambassadors,0.0,1.0,0.0,0.0,0.0,0.0,0.0
225,225.0,772001.0,Death Of A Bachelor,Panic! At The Disco,1.0,0.0,0.0,0.0,0.0,0.0,0.0
226,226.0,772002.0,Wet Dreamz,J. Cole,1.0,0.0,0.0,0.0,0.0,0.0,0.0
227,227.0,772007.0,Let It Go,James Bay,1.0,0.0,0.0,0.0,0.0,0.0,0.0
228,228.0,772008.0,Childs Play,Drake,0.0,1.0,0.0,0.0,0.0,0.0,0.0
229,229.0,772009.0,Juke Jam (feat. Justin Bieber & Towkio),Chance The Rapper,1.0,0.0,0.0,0.0,0.0,0.0,0.0
230,230.0,772010.0,Miss You,James Hersey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
231,231.0,772011.0,Location,Khalid,0.0,1.0,0.0,0.0,0.0,0.0,0.0
232,232.0,772012.0,She's Mine Pt. 2,J. Cole,1.0,0.0,0.0,0.0,0.0,0.0,0.0
233,233.0,772013.0,Rap God,Eminem,1.0,0.0,0.0,0.0,0.0,0.0,0.0
234,234.0,772015.0,H.O.L.Y.,Florida Georgia Line,1.0,0.0,0.0,0.0,0.0,0.0,0.0
235,235.0,772016.0,Cake,Flo Rida,1.0,0.0,0.0,0.0,0.0,0.0,0.0
236,236.0,772017.0,Look Alive,Rae Sremmurd,0.0,1.0,0.0,0.0,0.0,0.0,0.0
237,237.0,772019.0,Ordinary Life,The Weeknd,1.0,0.0,0.0,0.0,0.0,0.0,0.0
238,238.0,772020.0,It's Gotta Be You,Isaiah,0.0,1.0,0.0,0.0,0.0,0.0,0.0
239,239.0,772021.0,Versace On The Floor,Bruno Mars,0.0,1.0,0.0,0.0,0.0,0.0,0.0
240,240.0,772207.0,Hello,Adele,1.0,0.0,0.0,0.0,0.0,0.0,0.0
241,241.0,772219.0,everybody dies,J. Cole,0.0,1.0,0.0,0.0,0.0,0.0,0.0
242,242.0,772221.0,Final Song,MØ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
243,243.0,772407.0,Crazy Brazy,A$AP Mob,1.0,0.0,0.0,0.0,0.0,0.0,0.0
244,244.0,772410.0,Castro,Yo Gotti,0.0,0.0,1.0,0.0,0.0,0.0,0.0
245,245.0,772591.0,History,Olivia Holt,1.0,0.0,0.0,0.0,0.0,0.0,0.0
246,246.0,772619.0,Skateboard P,MadeinTYO,1.0,0.0,0.0,0.0,0.0,0.0,0.0
247,247.0,772622.0,Shape of You,Ed Sheeran,1.0,0.0,0.0,0.0,0.0,0.0,0.0
