,Track Name,Artist,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,is_key_0,is_key_1,is_key_2,is_key_3,is_key_4,is_key_5,is_key_6,is_key_7,is_key_8,is_key_9,is_key_10,is_key_11
10,I Feel It Coming,The Weeknd,0.42700000000000005,0.768,269187,0.813,0.0,0.102,-5.94,0,0.128,92.994,4,0.579,1,0,0,0,0,0,0,0,0,0,0,0
11,24K Magic,Bruno Mars,0.034,0.818,225983,0.8029999999999999,0.0,0.153,-4.282,1,0.0797,106.97,4,0.632,0,1,0,0,0,0,0,0,0,0,0,0
12,Bad Things (with Camila Cabello),Machine Gun Kelly,0.21,0.675,239293,0.69,0.0,0.287,-4.761,1,0.132,137.817,4,0.272,0,0,1,0,0,0,0,0,0,0,0,0
13,X (feat. Future),21 Savage,0.373,0.835,258880,0.413,0.00133,0.10099999999999999,-9.81,1,0.396,149.004,4,0.111,0,1,0,0,0,0,0,0,0,0,0,0
14,Don't Wanna Know,Maroon 5,0.33799999999999997,0.7829999999999999,214480,0.623,0.0,0.0975,-6.126,1,0.08,100.04799999999999,4,0.447,0,0,0,0,0,0,0,1,0,0,0,0
15,Chill Bill,Rob $tone,0.0312,0.8859999999999999,177184,0.42700000000000005,0.00099,0.0906,-10.027999999999999,1,0.145,108.03399999999999,4,0.23,0,0,0,0,0,0,1,0,0,0,0,0
16,Deja Vu,J. Cole,0.361,0.653,264747,0.409,0.00011999999999999999,0.18899999999999997,-11.446,1,0.42100000000000004,174.324,4,0.187,0,0,0,0,0,0,0,0,0,1,0,0
17,OOOUUU,Young M.A,0.5329999999999999,0.635,234650,0.847,0.0,0.154,-3.1519999999999997,1,0.447,166.072,4,0.568,0,0,0,0,0,0,0,1,0,0,0,0
18,Party Monster,The Weeknd,0.18100000000000002,0.585,249213,0.612,1.0300000000000001e-05,0.293,-8.341000000000001,1,0.0806,77.487,4,0.188,0,1,0,0,0,0,0,0,0,0,0,0
19,No Problem (feat. Lil Wayne & 2 Chainz),Chance The Rapper,0.156,0.652,304607,0.795,0.0,0.12300000000000001,-5.192,0,0.174,135.018,4,0.7879999999999999,0,0,0,0,0,0,0,0,0,0,0,1
20,No Heart,21 Savage,0.136,0.9059999999999999,235040,0.444,6.440000000000001e-05,0.17300000000000001,-8.692,0,0.384,140.063,4,0.6779999999999999,0,0,0,0,1,0,0,0,0,0,0,0
21,Starving,Hailee Steinfeld,0.371,0.636,181880,0.633,0.0,0.102,-4.23,1,0.126,99.721,4,0.512,0,0,0,0,1,0,0,0,0,0,0,0
22,Don't Let Me Down,The Chainsmokers,0.16,0.542,208053,0.8590000000000001,0.00466,0.13699999999999998,-5.651,1,0.19699999999999998,159.797,4,0.40299999999999997,0,0,0,0,0,0,0,0,0,0,0,1
23,Side To Side,Ariana Grande,0.0408,0.648,226160,0.738,0.0,0.292,-5.882999999999999,0,0.247,159.145,4,0.603,0,0,0,0,0,0,1,0,0,0,0,0
24,Treat You Better,Shawn Mendes,0.12300000000000001,0.624,187973,0.8029999999999999,0.0,0.114,-4.105,0,0.24600000000000002,166.018,4,0.821,0,0,0,0,0,0,0,0,0,0,1,0
25,In the Name of Love,Martin Garrix,0.0592,0.49,195840,0.485,0.0,0.337,-6.237,0,0.0406,133.889,4,0.196,0,0,0,0,1,0,0,0,0,0,0,0
26,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,0.0123,0.667,236002,0.83,0.0,0.191,-5.715,1,0.0749,113.03,4,0.701,1,0,0,0,0,0,0,0,0,0,0,0
27,Work from Home,Fifth Harmony,0.10300000000000001,0.8029999999999999,214480,0.585,3.94e-06,0.0644,-5.861000000000001,1,0.0432,105.01700000000001,4,0.593,0,0,0,0,0,0,0,0,1,0,0,0
28,Heathens,Twenty One Pilots,0.0841,0.732,195920,0.396,3.5799999999999996e-05,0.105,-9.347999999999999,0,0.0286,90.024,4,0.5479999999999999,0,0,0,0,1,0,0,0,0,0,0,0
