,Track Name,Artist,URL,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
78,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,17Fd6Yb7mSbinKG8LoWfFl,0.0353,0.663,197933,0.713,7.68e-06,7,0.0843,-6.647,0,0.112,101.965,4,0.69
79,"Happy - From ""Despicable Me 2""",Pharrell Williams,https://open.spotify.com/track/5b88tNINg4Q4nrRbrCXUmg,5b88tNINg4Q4nrRbrCXUmg,0.219,0.647,232720,0.822,0.0,5,0.0908,-4.662,0,0.183,160.019,4,0.962
80,Reminder,The Weeknd,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI,37F0uwRSrdzkBiuj0D5UHI,0.156,0.71,218880,0.495,0.0,8,0.164,-7.369,1,0.22,160.091,4,0.396
81,All Time Low,Jon Bellion,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m,1CnPYaKxTVb4LWOtiGOm0m,0.0556,0.609,217603,0.57,0.0,0,0.0915,-4.239,1,0.104,90.195,4,0.531
82,One Night,Lil Yachty,https://open.spotify.com/track/40yJGQyEaBbIkXpwMFkXip,40yJGQyEaBbIkXpwMFkXip,0.366,0.762,243270,0.476,0.0,0,0.103,-12.686,1,0.114,130.007,4,0.375
83,Paper Planes,M.I.A.,https://open.spotify.com/track/1kusepF3AacIEtUTYrw4GV,1kusepF3AacIEtUTYrw4GV,0.0277,0.457,203760,0.854,9.62e-05,2,0.731,-6.2,1,0.265,172.231,4,0.485
84,Stressed Out,Twenty One Pilots,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,3CRDbSIZ4r5MsZ0YwxuEkn,0.0462,0.734,202333,0.637,2.29e-05,4,0.0602,-5.677,0,0.141,169.977,4,0.648
85,Titanium (feat. Sia),David Guetta,https://open.spotify.com/track/2dOTkLZFbpNXrhc24CnTFd,2dOTkLZFbpNXrhc24CnTFd,0.0682,0.602,245053,0.796,0.12,0,0.15,-3.657,0,0.103,126.06,4,0.265
86,Bohemian Rhapsody - Remastered 2011,Queen,https://open.spotify.com/track/1AhDOtG9vPSOmsWgNW0BEY,1AhDOtG9vPSOmsWgNW0BEY,0.271,0.414,354320,0.404,0.0,0,0.3,-9.928,0,0.0499,71.105,4,0.224
87,White Iverson,Post Malone,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w,6eT7xZZlB2mwyzJ2sUKG6w,0.216,0.674,256533,0.568,0.0,7,0.0863,-7.678,1,0.0349,130.081,4,0.321
88,All Night,The Vamps,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,4b4KcovePX8Ke2cLIQTLM0,0.0038,0.544,197640,0.809,0.0,8,0.323,-5.098,1,0.0363,145.017,4,0.448
89,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu,2wDjpPW3HZdA9quPPmZAMu,0.494,0.42,215670,0.636,0.0,10,0.122,-7.216,1,0.22,156.104,5,0.784
90,"Me, Myself & I",G-Eazy,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC,40YcuQysJ0KlGQTeGUosTC,0.0186,0.757,251467,0.672,0.0,0,0.158,-6.524,0,0.0955,111.996,4,0.382
91,"i hate u, i love u (feat. olivia o'brien)",gnash,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe,7vRriwrloYVaoAe3a9wJHe,0.687,0.492,251034,0.275,0.0,6,0.101,-13.4,0,0.3,92.6,4,0.18
92,Too Many Years,Kodak Black,https://open.spotify.com/track/0BU7nIcCZxYSE0hYcc5oZz,0BU7nIcCZxYSE0hYcc5oZz,0.0237,0.665,196336,0.706,0.0,8,0.112,-6.859,0,0.0958,147.067,4,0.632
93,Love On The Brain,Rihanna,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02,2aksifNn5ph8igDOkPBA02,0.0848,0.506,224000,0.641,8.09e-06,4,0.073,-4.815,0,0.0456,171.957,3,0.393
94,Change,J. Cole,https://open.spotify.com/track/3pjUyVbFmM96tYhSaKJwTt,3pjUyVbFmM96tYhSaKJwTt,0.642,0.58,331480,0.519,0.00116,11,0.0936,-10.653,0,0.251,107.401,4,0.242
95,Don't,Bryson Tiller,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC,3pXF1nA74528Edde4of9CC,0.222,0.765,198293,0.356,0.0,11,0.0963,-5.556,0,0.196,97.001,4,0.19
96,Water,Ugly God,https://open.spotify.com/track/6HEIBHUirx1J0JkUD24szt,6HEIBHUirx1J0JkUD24szt,0.66,0.8,139674,0.297,0.000111,0,0.105,-13.1,0,0.407,140.051,4,0.213
97,Rich Girl,Daryl Hall & John Oates,https://open.spotify.com/track/0qRR9d89hIS0MHRkQ0ejxX,0qRR9d89hIS0MHRkQ0ejxX,0.461,0.573,142787,0.683,0.0,5,0.0935,-6.644,1,0.176,169.519,4,0.817
